areasymbol,musym,muname,mukind,comppct_l,comppct_h,compname,compkind,runoff,tfact,wei,weg,erocl,soilslippot,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,cokey,slopelen_r,reannualpr_r,esrisymbology,kffact,mukey,Shape_Length,Shape_Area,mukey_cokey
CA713,111,"Chaix family, 2 to 30 percent slopes.",Consociation,,,Chaix family,Family,,4,86,3,,,"Coarse-loamy, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,coarse-loamy,,25439021,,,Inceptisols,0.250000000000000,471120,1275.439731743794482,80446.028517397760879,471120_25439021
CA713,112,"Chaix family, 30 to 50 percent slopes.",Consociation,,,Chaix family,Family,,4,86,3,,,"Coarse-loamy, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,coarse-loamy,,25439030,,,Inceptisols,0.250000000000000,471121,8241.955082628506716,1762238.977662617340684,471121_25439030
CA713,112,"Chaix family, 30 to 50 percent slopes.",Consociation,,,Chaix family,Family,,4,86,3,,,"Coarse-loamy, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,coarse-loamy,,25439030,,,Inceptisols,0.250000000000000,471121,36984.572868905037467,15205837.041996162384748,471121_25439030
CA713,112,"Chaix family, 30 to 50 percent slopes.",Consociation,,,Chaix family,Family,,4,86,3,,,"Coarse-loamy, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,coarse-loamy,,25439030,,,Inceptisols,0.250000000000000,471121,5075.237279196087002,578548.232003583689220,471121_25439030
CA713,112,"Chaix family, 30 to 50 percent slopes.",Consociation,,,Chaix family,Family,,4,86,3,,,"Coarse-loamy, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,coarse-loamy,,25439030,,,Inceptisols,0.250000000000000,471121,21091.015745157197671,5374482.490449720062315,471121_25439030
CA713,112,"Chaix family, 30 to 50 percent slopes.",Consociation,,,Chaix family,Family,,4,86,3,,,"Coarse-loamy, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,coarse-loamy,,25439030,,,Inceptisols,0.250000000000000,471121,11170.950171681070060,1493772.196475335862488,471121_25439030
CA713,112,"Chaix family, 30 to 50 percent slopes.",Consociation,,,Chaix family,Family,,4,86,3,,,"Coarse-loamy, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,coarse-loamy,,25439030,,,Inceptisols,0.250000000000000,471121,43500.940652090677759,11496891.717663737013936,471121_25439030
CA713,112,"Chaix family, 30 to 50 percent slopes.",Consociation,,,Chaix family,Family,,4,86,3,,,"Coarse-loamy, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,coarse-loamy,,25439030,,,Inceptisols,0.250000000000000,471121,2983.029183352785822,231802.940850879997015,471121_25439030
CA713,112,"Chaix family, 30 to 50 percent slopes.",Consociation,,,Chaix family,Family,,4,86,3,,,"Coarse-loamy, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,coarse-loamy,,25439030,,,Inceptisols,0.250000000000000,471121,10121.714173794034650,1399694.846115898573771,471121_25439030
CA713,112,"Chaix family, 30 to 50 percent slopes.",Consociation,,,Chaix family,Family,,4,86,3,,,"Coarse-loamy, mixed, mesic Dystric Xerochrepts",Inceptisols,Ochrepts,Xerochrepts,Dystric Xerochrepts,coarse-loamy,,25439030,,,Inceptisols,0.250000000000000,471121,3823.436002536896012,459921.726453678333201,471121_25439030
